Abia,Central Senatorial District,Ikwuano,"70,509","67,388","137,897",,0.51,0.49,,10.1,19.4,25.8,16.1,14.8,4.8,3.3,5.8,,"7,121","6,806"
Abia,North Senatorial District,Ohafia,"124,416","121,571","245,987",,0.51,0.49,,10.1,19.4,25.8,16.1,14.8,4.8,3.3,5.8,,"12,566","12,279"
Abia,South Senatorial District,Obi Ngwa,"89,593","92,301","181,894",,0.49,0.51,,10.1,19.4,25.8,16.1,14.8,4.8,3.3,5.8,,"9,049","9,322"
Adamawa,Central Senatorial District,Song,"97,228","97,960","195,188",,0.50,0.50,,14.5,31.4,25.4,17.7,7.4,1.6,0.6,1.3,,"14,098","14,204"
Adamawa,North Senatorial District,Michika,"75,036","80,202","155,238",,0.48,0.52,,14.5,31.4,25.4,17.7,7.4,1.6,0.6,1.3,,"10,880","11,629"
Adamawa,South Senatorial District,Lamurde,"56,495","54,759","111,254",,0.51,0.49,,14.5,31.4,25.4,17.7,7.4,1.6,0.6,1.3,,"8,192","7,940"
Akwa Ibom,North East Senatorial District,Nsit Ubium,"64,674","62,409","127,083",,0.51,0.49,,13.4,30,25.4,15.6,10.4,2.6,1.2,1.5,,"8,666","8,363"
Akwa Ibom,North West Senatorial District,Oruk Anam,"86,863","84,976","171,839",,0.51,0.49,,13.4,30,25.4,15.6,10.4,2.6,1.2,1.5,,"11,640","11,387"
Akwa Ibom,South Senatorial District,Mbo,"52,351","49,822","102,173",,0.51,0.49,,13.4,30,25.4,15.6,10.4,2.6,1.2,1.5,,"7,015","6,676"
Anambra,Central Senatorial District,Awka North,"57,219","54,973","112,192",,0.51,0.49,,11.8,26.9,23.8,14.7,12.5,3.6,2.1,4.6,,"6,752","6,487"
Anambra,North Senatorial District,Anambra West,"85,833","81,470","167,303",,0.51,0.49,,11.8,26.9,23.8,14.7,12.5,3.6,2.1,4.6,,"10,128","9,613"
Anambra,South Senatorial District,Orumba South,"93,199","91,349","184,548",,0.51,0.49,,11.8,26.9,23.8,14.7,12.5,3.6,2.1,4.6,,"10,997","10,779"
Bauchi,Central Senatorial District,Ganjuwa,"140,402","138,069","278,471",,0.50,0.50,,19.1,30.5,26.5,12.9,7.2,2.5,0,1.3,,"26,817","26,371"
Bauchi,North Senatorial District,Itas/Gadau,"114,808","113,719","228,527",,0.50,0.50,,19.1,30.5,26.5,12.9,7.2,2.5,0,1.3,,"21,928","21,720"
Bauchi,South Senatorial District,Kirfi,"75,337","70,299","145,636",,0.52,0.48,,19.1,30.5,26.5,12.9,7.2,2.5,0,1.3,,"14,389","13,427"
Bayelsa,Central Senatorial District,Southern Ijaw,"165,329","156,479","321,808",,0.51,0.49,,13.5,28.3,27.8,16.3,8.8,1.7,1.4,2.2,,"22,319","21,125"
Bayelsa,East Senatorial District,Brass,"94,359","89,768","184,127",,0.51,0.49,,13.5,28.3,27.8,16.3,8.8,1.7,1.4,2.2,,"12,738","12,119"
